input,target
"""1 1 1 0 0 4 1 9 'handler' 1 ""","""Algoritmo conversion Escribir 'handler' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'setting' 1 ""","""Algoritmo conversion Escribir 'setting' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'context' 1 ""","""Algoritmo conversion Escribir 'context' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'package' 1 ""","""Algoritmo conversion Escribir 'package' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'library' 1 ""","""Algoritmo conversion Escribir 'library' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'request' 1 ""","""Algoritmo conversion Escribir 'request' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'payload' 1 ""","""Algoritmo conversion Escribir 'payload' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'element' 1 ""","""Algoritmo conversion Escribir 'element' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'storage' 1 ""","""Algoritmo conversion Escribir 'storage' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'address' 1 ""","""Algoritmo conversion Escribir 'address' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'network' 1 ""","""Algoritmo conversion Escribir 'network' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'session' 1 ""","""Algoritmo conversion Escribir 'session' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'pattern' 1 ""","""Algoritmo conversion Escribir 'pattern' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'integer' 1 ""","""Algoritmo conversion Escribir 'integer' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'boolean' 1 ""","""Algoritmo conversion Escribir 'boolean' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'dynamic' 1 ""","""Algoritmo conversion Escribir 'dynamic' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'mutable' 1 ""","""Algoritmo conversion Escribir 'mutable' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'process' 1 ""","""Algoritmo conversion Escribir 'process' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'timeout' 1 ""","""Algoritmo conversion Escribir 'timeout' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'entrada' 1 ""","""Algoritmo conversion Escribir 'entrada' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'bandera' 1 ""","""Algoritmo conversion Escribir 'bandera' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'volumen' 1 ""","""Algoritmo conversion Escribir 'volumen' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'mediana' 1 ""","""Algoritmo conversion Escribir 'mediana' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'divisor' 1 ""","""Algoritmo conversion Escribir 'divisor' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'residuo' 1 ""","""Algoritmo conversion Escribir 'residuo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'columna' 1 ""","""Algoritmo conversion Escribir 'columna' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'arreglo' 1 ""","""Algoritmo conversion Escribir 'arreglo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'vertice' 1 ""","""Algoritmo conversion Escribir 'vertice' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'hermano' 1 ""","""Algoritmo conversion Escribir 'hermano' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'puntero' 1 ""","""Algoritmo conversion Escribir 'puntero' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'funcion' 1 ""","""Algoritmo conversion Escribir 'funcion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'estatus' 1 ""","""Algoritmo conversion Escribir 'estatus' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'entorno' 1 ""","""Algoritmo conversion Escribir 'entorno' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'alcance' 1 ""","""Algoritmo conversion Escribir 'alcance' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'paquete' 1 ""","""Algoritmo conversion Escribir 'paquete' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'ordenar' 1 ""","""Algoritmo conversion Escribir 'ordenar' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'agregar' 1 ""","""Algoritmo conversion Escribir 'agregar' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'entrada' 1 ""","""Algoritmo conversion Escribir 'entrada' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'memoria' 1 ""","""Algoritmo conversion Escribir 'memoria' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'archivo' 1 ""","""Algoritmo conversion Escribir 'archivo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'carpeta' 1 ""","""Algoritmo conversion Escribir 'carpeta' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'dominio' 1 ""","""Algoritmo conversion Escribir 'dominio' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'secreto' 1 ""","""Algoritmo conversion Escribir 'secreto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'cifrado' 1 ""","""Algoritmo conversion Escribir 'cifrado' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'volatil' 1 ""","""Algoritmo conversion Escribir 'volatil' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'mutable' 1 ""","""Algoritmo conversion Escribir 'mutable' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'proceso' 1 ""","""Algoritmo conversion Escribir 'proceso' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'trabajo' 1 ""","""Algoritmo conversion Escribir 'trabajo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 9 'retraso' 1 ""","""Algoritmo conversion Escribir 'retraso' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'is_valid' 1 ""","""Algoritmo conversion Escribir 'is_valid' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'password' 1 ""","""Algoritmo conversion Escribir 'password' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'distance' 1 ""","""Algoritmo conversion Escribir 'distance' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'interval' 1 ""","""Algoritmo conversion Escribir 'interval' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'duration' 1 ""","""Algoritmo conversion Escribir 'duration' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'discount' 1 ""","""Algoritmo conversion Escribir 'discount' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'quantity' 1 ""","""Algoritmo conversion Escribir 'quantity' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'variance' 1 ""","""Algoritmo conversion Escribir 'variance' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'dividend' 1 ""","""Algoritmo conversion Escribir 'dividend' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'quotient' 1 ""","""Algoritmo conversion Escribir 'quotient' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'ancestor' 1 ""","""Algoritmo conversion Escribir 'ancestor' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'instance' 1 ""","""Algoritmo conversion Escribir 'instance' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'function' 1 ""","""Algoritmo conversion Escribir 'function' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'argument' 1 ""","""Algoritmo conversion Escribir 'argument' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'callback' 1 ""","""Algoritmo conversion Escribir 'callback' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'listener' 1 ""","""Algoritmo conversion Escribir 'listener' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'observer' 1 ""","""Algoritmo conversion Escribir 'observer' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'endpoint' 1 ""","""Algoritmo conversion Escribir 'endpoint' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'response' 1 ""","""Algoritmo conversion Escribir 'response' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'superset' 1 ""","""Algoritmo conversion Escribir 'superset' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'property' 1 ""","""Algoritmo conversion Escribir 'property' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'sequence' 1 ""","""Algoritmo conversion Escribir 'sequence' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'protocol' 1 ""","""Algoritmo conversion Escribir 'protocol' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'infinity' 1 ""","""Algoritmo conversion Escribir 'infinity' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'constant' 1 ""","""Algoritmo conversion Escribir 'constant' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'variable' 1 ""","""Algoritmo conversion Escribir 'variable' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'volatile' 1 ""","""Algoritmo conversion Escribir 'volatile' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'contador' 1 ""","""Algoritmo conversion Escribir 'contador' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'temporal' 1 ""","""Algoritmo conversion Escribir 'temporal' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'longitud' 1 ""","""Algoritmo conversion Escribir 'longitud' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'duracion' 1 ""","""Algoritmo conversion Escribir 'duracion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'impuesto' 1 ""","""Algoritmo conversion Escribir 'impuesto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'cantidad' 1 ""","""Algoritmo conversion Escribir 'cantidad' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'promedio' 1 ""","""Algoritmo conversion Escribir 'promedio' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'varianza' 1 ""","""Algoritmo conversion Escribir 'varianza' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'cociente' 1 ""","""Algoritmo conversion Escribir 'cociente' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'producto' 1 ""","""Algoritmo conversion Escribir 'producto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'conjunto' 1 ""","""Algoritmo conversion Escribir 'conjunto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'ancestro' 1 ""","""Algoritmo conversion Escribir 'ancestro' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'callback' 1 ""","""Algoritmo conversion Escribir 'callback' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'contexto' 1 ""","""Algoritmo conversion Escribir 'contexto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'libreria' 1 ""","""Algoritmo conversion Escribir 'libreria' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'cabecera' 1 ""","""Algoritmo conversion Escribir 'cabecera' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'consulta' 1 ""","""Algoritmo conversion Escribir 'consulta' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'elemento' 1 ""","""Algoritmo conversion Escribir 'elemento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'registro' 1 ""","""Algoritmo conversion Escribir 'registro' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'atributo' 1 ""","""Algoritmo conversion Escribir 'atributo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'conexion' 1 ""","""Algoritmo conversion Escribir 'conexion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'caracter' 1 ""","""Algoritmo conversion Escribir 'caracter' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'flotante' 1 ""","""Algoritmo conversion Escribir 'flotante' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'booleano' 1 ""","""Algoritmo conversion Escribir 'booleano' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'infinito' 1 ""","""Algoritmo conversion Escribir 'infinito' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'variable' 1 ""","""Algoritmo conversion Escribir 'variable' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'estatico' 1 ""","""Algoritmo conversion Escribir 'estatico' FinAlgoritmo"""
"""1 1 1 0 0 4 1 10 'dinamico' 1 ""","""Algoritmo conversion Escribir 'dinamico' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'user_name' 1 ""","""Algoritmo conversion Escribir 'user_name' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'file_name' 1 ""","""Algoritmo conversion Escribir 'file_name' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'file_path' 1 ""","""Algoritmo conversion Escribir 'file_path' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'timestamp' 1 ""","""Algoritmo conversion Escribir 'timestamp' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'frequency' 1 ""","""Algoritmo conversion Escribir 'frequency' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'threshold' 1 ""","""Algoritmo conversion Escribir 'threshold' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'min_value' 1 ""","""Algoritmo conversion Escribir 'min_value' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'max_value' 1 ""","""Algoritmo conversion Escribir 'max_value' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'deviation' 1 ""","""Algoritmo conversion Escribir 'deviation' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'remainder' 1 ""","""Algoritmo conversion Escribir 'remainder' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'increment' 1 ""","""Algoritmo conversion Escribir 'increment' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'decrement' 1 ""","""Algoritmo conversion Escribir 'decrement' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'iteration' 1 ""","""Algoritmo conversion Escribir 'iteration' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'reference' 1 ""","""Algoritmo conversion Escribir 'reference' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'parameter' 1 ""","""Algoritmo conversion Escribir 'parameter' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'namespace' 1 ""","""Algoritmo conversion Escribir 'namespace' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'framework' 1 ""","""Algoritmo conversion Escribir 'framework' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'aggregate' 1 ""","""Algoritmo conversion Escribir 'aggregate' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'attribute' 1 ""","""Algoritmo conversion Escribir 'attribute' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'directory' 1 ""","""Algoritmo conversion Escribir 'directory' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'algorithm' 1 ""","""Algoritmo conversion Escribir 'algorithm' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'undefined' 1 ""","""Algoritmo conversion Escribir 'undefined' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'immutable' 1 ""","""Algoritmo conversion Escribir 'immutable' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'scheduler' 1 ""","""Algoritmo conversion Escribir 'scheduler' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'resultado' 1 ""","""Algoritmo conversion Escribir 'resultado' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'es_valido' 1 ""","""Algoritmo conversion Escribir 'es_valido' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'distancia' 1 ""","""Algoritmo conversion Escribir 'distancia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'velocidad' 1 ""","""Algoritmo conversion Escribir 'velocidad' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'intervalo' 1 ""","""Algoritmo conversion Escribir 'intervalo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'descuento' 1 ""","""Algoritmo conversion Escribir 'descuento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'dividendo' 1 ""","""Algoritmo conversion Escribir 'dividendo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'iteracion' 1 ""","""Algoritmo conversion Escribir 'iteracion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'instancia' 1 ""","""Algoritmo conversion Escribir 'instancia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'parametro' 1 ""","""Algoritmo conversion Escribir 'parametro' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'argumento' 1 ""","""Algoritmo conversion Escribir 'argumento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'manejador' 1 ""","""Algoritmo conversion Escribir 'manejador' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'solicitud' 1 ""","""Algoritmo conversion Escribir 'solicitud' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'respuesta' 1 ""","""Algoritmo conversion Escribir 'respuesta' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'propiedad' 1 ""","""Algoritmo conversion Escribir 'propiedad' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'coleccion' 1 ""","""Algoritmo conversion Escribir 'coleccion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'secuencia' 1 ""","""Algoritmo conversion Escribir 'secuencia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'protocolo' 1 ""","""Algoritmo conversion Escribir 'protocolo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'direccion' 1 ""","""Algoritmo conversion Escribir 'direccion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'algoritmo' 1 ""","""Algoritmo conversion Escribir 'algoritmo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'expresion' 1 ""","""Algoritmo conversion Escribir 'expresion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'VERDADERO' 1 ""","""Algoritmo conversion Escribir 'VERDADERO' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'constante' 1 ""","""Algoritmo conversion Escribir 'constante' FinAlgoritmo"""
"""1 1 1 0 0 4 1 11 'inmutable' 1 ""","""Algoritmo conversion Escribir 'inmutable' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'percentage' 1 ""","""Algoritmo conversion Escribir 'percentage' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'multiplier' 1 ""","""Algoritmo conversion Escribir 'multiplier' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'difference' 1 ""","""Algoritmo conversion Escribir 'difference' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'loop_count' 1 ""","""Algoritmo conversion Escribir 'loop_count' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'dictionary' 1 ""","""Algoritmo conversion Escribir 'dictionary' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'descendant' 1 ""","""Algoritmo conversion Escribir 'descendant' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'preference' 1 ""","""Algoritmo conversion Escribir 'preference' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'difference' 1 ""","""Algoritmo conversion Escribir 'difference' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'complement' 1 ""","""Algoritmo conversion Escribir 'complement' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'collection' 1 ""","""Algoritmo conversion Escribir 'collection' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'connection' 1 ""","""Algoritmo conversion Escribir 'connection' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'encryption' 1 ""","""Algoritmo conversion Escribir 'encryption' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'decryption' 1 ""","""Algoritmo conversion Escribir 'decryption' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'expression' 1 ""","""Algoritmo conversion Escribir 'expression' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'contraseña' 1 ""","""Algoritmo conversion Escribir 'contraseña' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'frecuencia' 1 ""","""Algoritmo conversion Escribir 'frecuencia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'desviacion' 1 ""","""Algoritmo conversion Escribir 'desviacion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'porcentaje' 1 ""","""Algoritmo conversion Escribir 'porcentaje' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'diferencia' 1 ""","""Algoritmo conversion Escribir 'diferencia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'incremento' 1 ""","""Algoritmo conversion Escribir 'incremento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'decremento' 1 ""","""Algoritmo conversion Escribir 'decremento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'referencia' 1 ""","""Algoritmo conversion Escribir 'referencia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'escuchador' 1 ""","""Algoritmo conversion Escribir 'escuchador' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'observador' 1 ""","""Algoritmo conversion Escribir 'observador' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'carga_util' 1 ""","""Algoritmo conversion Escribir 'carga_util' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'diferencia' 1 ""","""Algoritmo conversion Escribir 'diferencia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'directorio' 1 ""","""Algoritmo conversion Escribir 'directorio' FinAlgoritmo"""
"""1 1 1 0 0 4 1 12 'indefinido' 1 ""","""Algoritmo conversion Escribir 'indefinido' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'total_price' 1 ""","""Algoritmo conversion Escribir 'total_price' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'environment' 1 ""","""Algoritmo conversion Escribir 'environment' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'profundidad' 1 ""","""Algoritmo conversion Escribir 'profundidad' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'diccionario' 1 ""","""Algoritmo conversion Escribir 'diccionario' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'profundidad' 1 ""","""Algoritmo conversion Escribir 'profundidad' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'preferencia' 1 ""","""Algoritmo conversion Escribir 'preferencia' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'punto_final' 1 ""","""Algoritmo conversion Escribir 'punto_final' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'complemento' 1 ""","""Algoritmo conversion Escribir 'complemento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'subconjunto' 1 ""","""Algoritmo conversion Escribir 'subconjunto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 13 'enumeracion' 1 ""","""Algoritmo conversion Escribir 'enumeracion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'return_value' 1 ""","""Algoritmo conversion Escribir 'return_value' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'intersection' 1 ""","""Algoritmo conversion Escribir 'intersection' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'ruta_archivo' 1 ""","""Algoritmo conversion Escribir 'ruta_archivo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'marca_tiempo' 1 ""","""Algoritmo conversion Escribir 'marca_tiempo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'precio_total' 1 ""","""Algoritmo conversion Escribir 'precio_total' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'valor_minimo' 1 ""","""Algoritmo conversion Escribir 'valor_minimo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'valor_maximo' 1 ""","""Algoritmo conversion Escribir 'valor_maximo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'descendiente' 1 ""","""Algoritmo conversion Escribir 'descendiente' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'interseccion' 1 ""","""Algoritmo conversion Escribir 'interseccion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'encriptacion' 1 ""","""Algoritmo conversion Escribir 'encriptacion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'planificador' 1 ""","""Algoritmo conversion Escribir 'planificador' FinAlgoritmo"""
"""1 1 1 0 0 4 1 14 'temporizador' 1 ""","""Algoritmo conversion Escribir 'temporizador' FinAlgoritmo"""
"""1 1 1 0 0 4 1 15 'configuration' 1 ""","""Algoritmo conversion Escribir 'configuration' FinAlgoritmo"""
"""1 1 1 0 0 4 1 15 'multiplicador' 1 ""","""Algoritmo conversion Escribir 'multiplicador' FinAlgoritmo"""
"""1 1 1 0 0 4 1 15 'valor_retorno' 1 ""","""Algoritmo conversion Escribir 'valor_retorno' FinAlgoritmo"""
"""1 1 1 0 0 4 1 15 'configuracion' 1 ""","""Algoritmo conversion Escribir 'configuracion' FinAlgoritmo"""
"""1 1 1 0 0 4 1 15 'marco_trabajo' 1 ""","""Algoritmo conversion Escribir 'marco_trabajo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 15 'superconjunto' 1 ""","""Algoritmo conversion Escribir 'superconjunto' FinAlgoritmo"""
"""1 1 1 0 0 4 1 15 'tiempo_espera' 1 ""","""Algoritmo conversion Escribir 'tiempo_espera' FinAlgoritmo"""
"""1 1 1 0 0 4 1 16 'nombre_usuario' 1 ""","""Algoritmo conversion Escribir 'nombre_usuario' FinAlgoritmo"""
"""1 1 1 0 0 4 1 16 'nombre_archivo' 1 ""","""Algoritmo conversion Escribir 'nombre_archivo' FinAlgoritmo"""
"""1 1 1 0 0 4 1 16 'desplazamiento' 1 ""","""Algoritmo conversion Escribir 'desplazamiento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 16 'contador_bucle' 1 ""","""Algoritmo conversion Escribir 'contador_bucle' FinAlgoritmo"""
"""1 1 1 0 0 4 1 16 'almacenamiento' 1 ""","""Algoritmo conversion Escribir 'almacenamiento' FinAlgoritmo"""
"""1 1 1 0 0 4 1 17 'espacio_nombres' 1 ""","""Algoritmo conversion Escribir 'espacio_nombres' FinAlgoritmo"""
"""1 1 1 0 0 4 1 17 'desencriptacion' 1 ""","""Algoritmo conversion Escribir 'desencriptacion' FinAlgoritmo"""
"""1 1 1 0 0 5 1 4 'ip' 1 ""","""Algoritmo conversion Leer 'ip' FinAlgoritmo"""
"""1 1 1 0 0 5 1 4 'ip' 1 ""","""Algoritmo conversion Leer 'ip' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'sum' 1 ""","""Algoritmo conversion Leer 'sum' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'tax' 1 ""","""Algoritmo conversion Leer 'tax' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'row' 1 ""","""Algoritmo conversion Leer 'row' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'map' 1 ""","""Algoritmo conversion Leer 'map' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'set' 1 ""","""Algoritmo conversion Leer 'set' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'api' 1 ""","""Algoritmo conversion Leer 'api' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'key' 1 ""","""Algoritmo conversion Leer 'key' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'url' 1 ""","""Algoritmo conversion Leer 'url' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'uri' 1 ""","""Algoritmo conversion Leer 'uri' FinAlgoritmo"""
"""1 1 1 0 0 5 1 5 'key' 1 ""","""Algoritmo conversion Leer 'key' FinAlgoritmo"""
